"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","BASIC-EVALUATION---METTA-LANGUAGE7.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","D2-HIGHERFUNC.27","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","D3-DEPTYPES.05","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","28","G1-DOCS.04","","Wed Nov 20 21:10:52 GMT 2024","failed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","9000","hyperon-experimental_scripts.f1_imports","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","9000","metta_lang.Metatypes___MeTTa_Language9","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","585","TMPMATCH2.05","","Wed Nov 20 21:05:56 GMT 2024","passed","Wed Nov 20 21:05:56 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","3","A1-SYMBOLS.04","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","METATYPES---METTA-LANGUAGE8.02","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","1","CALL-CLEANUP-TESTS.02","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","HYPERPOSE-TESTS.02","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","FIRST-ANSWER.02","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","LET-SUPERPOSE-IF-CASE.02","","Wed Nov 20 21:46:24 GMT 2024","passed","Wed Nov 20 21:46:24 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","3","MINIMAL-METTA-TESTS.41","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE2.05","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","9000","metta-morph_tests.tests0","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","77","WORKING-WITH-SPACES---METTA-LANGUAGE5.02","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE3.04","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","QUERYING-SPACE-CONTENT---METTA-LANGUAGE2.02","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","66","F1-IMPORTS.16","","Wed Nov 20 21:05:39 GMT 2024","passed","Wed Nov 20 21:05:39 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","SUBTRACTION-TEST.05","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9000","metta-morph_tests.types3","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","F1-IMPORTS.18","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","9000","metta_lang.Control_flow___MeTTa_Language2","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","CONCRETE-TYPES---METTA-LANGUAGE1.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","RECURSION-AND-CONTROL---METTA-LANGUAGE2.06","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","F1-MODULEA.02","","Wed Nov 20 21:50:36 GMT 2024","passed","Wed Nov 20 21:50:36 GMT 2024","","QUICK","QUICK",""
